title,abstract
転職したらゲーム基盤システムの移行が大変だった話 ~ 数百台のアプリをGKE化、CloudSQL化させて苦労したこと勘所 ~,"既存アプリをk8sやマネージドサービスなどに移行する時、どこから始めればいいのか、何が変わるのか、わからないと思ったことはありませんか？
私達も数年かけてVMベースのアプリをGCP移設する中で、いつ落ちるか分からないk8sへの移行、クラウドの世界での性能改善、マネージドDB化による構成変更など、アプリ・インフラ双方で様々な壁にぶつかってきました。
本発表では私達が乗り越えてきた壁とその解決策についてお伝えします。"
3人チームでも運用できるパルワールドのクラウドネイティブ技術,発売1ヶ月で総プレイヤー数2500万人を記録したパルワールドのインフラは、クラウドとKubernetesの機能を最大限活用しながら、3名の小規模チームにより運用されています。ユーザーがマルチプレイで遊ぶためのゲームサーバーをKubernetesで上手く扱う手法や、メトリクスに基づくコスト効率化など、プロダクトの運用フェーズをよりコンパクトにするための手法や考え方をご紹介します。
UPSIDERのアプリケーションを支える、高セキュリティ・高可用・高スケーラブルなプラットフォーム,UPSIDERの法人カード事業で求められるセキュリティとパフォーマンス、スケーラビリティを実現するため、GKEを活用したマイクロサービスアーキテクチャを紹介します。秘匿性の高いデータの分離を意識したシステムアーキテクチャーやObservability改善の事例、また事業拡大をするなかで、ある程度の自由度を保ちながらの拡大してきた開発体制の取り組みもご紹介します。
AI で加速するクラウドネイティブな開発体験,開発の効率化が求められる中、クラウド上での開発体験向上がトレンドになっています。コンテナベースのオンデマンドな開発環境は、必要なリソースを瞬時に提供し、開発スピードを加速させます。その上で、すでに一般的になっている AI による開発支援を組み合わせることでさらなる開発体験の向上が可能になっており、その利用はクラウド運用まで広がっています。本セッションでは、Google Cloud を例にこれらの開発者のための環境についてお話します。
生成AIのDevOps活用とLLMアプリの効率的な監視、改善、保護,"生成AI・LLMをDevOpsに活かすことと生成AIを監視して提供品質やセキュリティを担保することが大きな課題です。
本セッションではオブザーバビリティとセキュリティの統合基盤であるDatadogを用いたAIOpsと生成AIの監視についてご紹介します。ハルシネーション防止やユーザー感情の観測などでLLMアプリケーションを効率的に監視、改善、保護する方法を学びましょう。"
120万口座を支える証券システムのクラウド運用内製化とクラウドネイティブへの挑戦,"PayPay証券は、証券会社としては後発ですが、現在120万を超える口座を抱えています。2016年の開始当初からAWSを利用していますが、運用は外部へ委託しており、クラウドネイティブな作りではありませんでした。
2023年より、新NISAの取り扱い開始のタイミングもあり、ユーザ増加を見越してサービス改善を図るため、クラウド運用の内製化や組織改革を始め、IaCの導入、コンテナ化、コスト最適化、セキュリティ強化などに取り組み、モダン化を進めています。
本セッションでは、これらの取り組みについて、証券業界固有の考慮点も交えてお話します。
"
PlayStation NetworkにおけるKubernetesマニフェスト管理の物語,"40以上のサービスチーム、1000人近くのPlayStation Network開発者が利用しているInternal Developer Platformを開発運用するエンジニアリングチームとして、Kubernetesのマニフェストファイルを中央集権的に提供することはチャレンジの連続だった——

本セッションでは、Helmのsubchartを活用してセキュリティやコスト管理などのガバナンスを強化しつつ、開発言語やワークロード、パブリッククラウドのアカウントも異なるサービスに対して、最小限の記述で必要なものを設定できるchartを構成する方法について紹介します。
また、Helmを利用していることで発生した問題や解決のために取った手法についてもお話しします。"
成熟度別 Platform Engineering アーキテクチャ道場！,"Platform Engineeringは、現代のソフトウェア開発において注目を集める重要なトレンドです。ガートナーの予測によると、2026年までに80%の大規模ソフトウェアエンジニアリング組織がプラットフォームチームを設立すると言われています。しかし、Platform Engineering を実現しているのは一部の技術的に秀でた企業のみであり、多くの企業にとって、具体的な実装方法は依然として不明確です。
本セッションでは、Platform Engineeringの成熟度モデルごとに、各段階に応じた具体的なリファレンスアーキテクチャを提示します。これにより、参加者は自社の現状を把握し、Platform Engineeringを単なるバズワードから実践的なソリューションへと昇華させる具体的な方法論を学ぶことができます。
成熟度モデルとリファレンスアーキテクチャを活用することで、各組織に適したPlatform Engineeringの実装が可能となり、ソフトウェア開発の効率化と品質向上を実現できるでしょう。"
Amazon ECSとCloud Runの相互理解で広げるクラウドネイティブの景色,"本セッションでは、AWSとGoogle Cloudにおけるネットワークやアーキテクチャデザイン時の違いを解説しつつ、各クラウドの代表的なコンテナサービスであるAmazon ECSとCloud Run両者の理解を深める手助けをします。
いずれかのサービスに触れたことのある方が、既存のメンタルモデルを活かしながらもう一方のサービスを深く理解することで、コンテナ技術に精通するエンジニアとしてさらなる成長を遂げるためのヒントを提供します。"
今はまだ小さい東京ガス内製開発チームが、これからもKubernetesと共に歩み続けるために,"東京ガス内製開発チームはマイクロサービス化のプラットフォームとしてKubernetes(Amazon EKS)を選択しました。そして2024年11月、いよいよ最初のサービスがリリースされます。約一年弱、二人で構築したこのプラットフォームは、Istio, ArgoCD, Karpenter…様々なエコシステムを活用しています。このエコシステムとKubernetesと共に、我々は歩みを止めずに""クラウドネイティブ""であり続けられるのか。そしてエコシステムの恩恵を""享受する""だけでいいのか。小さな一歩を踏み出したチームが、リリースに至るまでに得た知見を共有すると共に、これからKubernetesを始める皆さんに小さな勇気を与えられたら幸いです。"
AWSセキュリティの最適解！セキュリティ人材不足でも包括的かつ効率的に対策を行う方法,"サイバー攻撃が増加する中、セキュリティ対策は重要な経営課題となっています。AWSの利用においても、対応が求められるセキュリティ課題は多岐にわたります。
しかし、多くの企業がエンジニア不足に直面し、必要な人材を確保できないという課題を抱えているのではないでしょうか。
本セッションでは、セキュリティ人材が不足している状況でも工数を削減し包括的なクラウドセキュリティ対策を実現する方法をご紹介します。"
IT運用を包括的に支える新しい自動化プラットフォームとセルフサービス化の実現へ向けて,IBM Rapid Network Automationは、Pliant社の技術を基盤とした自動化プラットフォームで、ネットワーク自動化に留まらず、IT運用全体を包括的にサポートします。ハイブリッド・マルチクラウド環境にも柔軟に対応し、セルフサービス化を実現する具体的な活用方法や、クラウドネイティブ環境での自動化の利点について詳しく解説します。IT運用の効率化と迅速化を目指す企業にとって、必見の内容です。
Kubernetes環境のオブザーバビリティの次の一歩をOpenTelemetryで実現すると何がどうなるの？,本セッションでは、KubernetesやPrometheusに詳しいプラットフォームエンジニア向けに、オブザーバビリティの次のステージを実現するためのOpenTelemetry活用法を解説します。Kubernetes環境における実践例を通じて、メトリクスやトレースの統合による運用効率向上と、リアルタイムな可視化の価値を探ります。また、Splunk Observability製品との連携によって得られる効果的なモニタリングと課題解決のアプローチもご紹介します。
間違いだらけのポストモーテム - ホントに役立つレビューはこうだ!,"みなさんはシステム障害発生後に、きちんとレビューをしていますか？ SREのプラクティスではポストモーテムと呼ぶこともありますね。

ポストモーテムを行うことは、将来のインシデント防止に向けてとてもとても大事です。 インシデント対応そのものよりも大事とすら言えます。ですが、それほど大事なものなにも関わらず、「正しく」レビューが出来ているケースはそれほど多くありません。

本セッションでは、インシデントを組織の成長機会に繋げていきたいという人に向けて、インシデントという体験から学び組織を強化するベストプラクティスについてお話しします。BlamelessからBlame-awareに、ポストモーテムからポストインデントレビューに。これまであまり語られてこなかった、インシデント後のレビュー方法についてヒントとなる話をします。"
Mastering Cloud Native API Gateway with Envoy,"API をホスティングするための様々な共通課題を解決する API Gateway パターンは、クラウドネイティブ環境でも広く利用されているアーキテクチャパターンです。
本セッションでは、クラウドネイティブなネットワークプロキシーである「Envoy」を用いた API Gateway パターンの実践について、下記のトピックを交えつつ解説します！

- API Gateway パターンの基礎と実践例
- フィルターや xDS、サービスメッシュでの利用例をはじめとした Envoy の基礎
- Envoy の External Authorization・External Processing フィルターを用いたリクエストの検証
- WebAssembly を用いた Envoy の拡張
- CUE を用いた Envoy の設定の管理"
